group,country,taxon,variable,measure,value
Catfishes,Other countries,Striped catfish,FM,ll,4.132847354112495
Catfishes,Other countries,Striped catfish,FM,ul,7.37467113686393
Catfishes,Other countries,Striped catfish,FO,mean,0.20957290590157895
Catfishes,Other countries,Striped catfish,FO,sd,0.1607283093316915
Catfishes,Other countries,Striped catfish,FO,ll,0.13486354586360716
Catfishes,Other countries,Striped catfish,FO,ul,4.493358263564602
Eels,World,Eels,On_Feed,mean,95.38392857142857
Eels,World,Eels,On_Feed,sd,0.43591985853117254
Eels,World,Eels,On_Feed,ll,94.04306081241755
Eels,World,Eels,On_Feed,ul,95.86674570320949
Eels,World,Eels,FCR,mean,1.598507142857143
Eels,World,Eels,FCR,sd,0.021025960610422046
Eels,World,Eels,FCR,ll,1.571729984649703
Eels,World,Eels,FCR,ul,1.6768047666847805
Eels,World,Eels,FM,mean,50.99236952585834
Eels,World,Eels,FM,sd,3.3100553195136757
Eels,World,Eels,FM,ll,47.70235939613235
Eels,World,Eels,FM,ul,62.13048929583947
Eels,World,Eels,FO,mean,5.112923518051334
Eels,World,Eels,FO,sd,0.8938518736283146
Eels,World,Eels,FO,ll,4.8492266607519365
Eels,World,Eels,FO,ul,12.640192256611039
Eels,Taiwan Province of China,Eels,On_Feed,mean,95.41185714285714
Eels,Taiwan Province of China,Eels,On_Feed,sd,0.4433077331110207
Eels,Taiwan Province of China,Eels,On_Feed,ll,93.99313073959249
Eels,Taiwan Province of China,Eels,On_Feed,ul,95.82286523075143
Eels,Taiwan Province of China,Eels,FCR,mean,1.5947071428571429
Eels,Taiwan Province of China,Eels,FCR,sd,0.020069157615952515
Eels,Taiwan Province of China,Eels,FCR,ll,1.5746357494248713
Eels,Taiwan Province of China,Eels,FCR,ul,1.682291353839746
Eels,Taiwan Province of China,Eels,FM,mean,51.54141666617917
Eels,Taiwan Province of China,Eels,FM,sd,3.2023506213220565
Eels,Taiwan Province of China,Eels,FM,ll,47.0910389053418
Eels,Taiwan Province of China,Eels,FM,ul,61.29808772830814
Eels,Taiwan Province of China,Eels,FO,mean,5.096418677419
Eels,Taiwan Province of China,Eels,FO,sd,0.8944517472179252
Eels,Taiwan Province of China,Eels,FO,ll,4.786363865861265
Eels,Taiwan Province of China,Eels,FO,ul,12.859835618649974
Eels,Denmark,Eels,On_Feed,mean,95.40832142857143
Eels,Denmark,Eels,On_Feed,sd,0.426162720576668
Eels,Denmark,Eels,On_Feed,ll,93.99464738077967
Eels,Denmark,Eels,On_Feed,ul,95.80843571975593
Eels,Denmark,Eels,FCR,mean,1.596507142857143
Eels,Denmark,Eels,FCR,sd,0.021331683102120084
Eels,Denmark,Eels,FCR,ll,1.571092392409615
Eels,Denmark,Eels,FCR,ul,1.682291353839746
Eels,Denmark,Eels,FM,mean,51.25060567424167
Eels,Denmark,Eels,FM,sd,3.3401735978685245
Eels,Denmark,Eels,FM,ll,46.78310137028855
Eels,Denmark,Eels,FM,ul,61.89007848618972
Eels,Denmark,Eels,FO,mean,5.5797131367581665
Eels,Denmark,Eels,FO,sd,1.1012917093175563
Eels,Denmark,Eels,FO,ll,4.35694156967447
Eels,Denmark,Eels,FO,ul,12.136493854930833
Eels,Other countries,Eels,On_Feed,mean,95.40007142857142
Eels,Other countries,Eels,On_Feed,sd,0.44381466418993826
Eels,Other countries,Eels,On_Feed,ll,94.08959565215262
Eels,Other countries,Eels,On_Feed,ul,95.89032234438757
Eels,Other countries,Eels,FCR,mean,1.596307142857143
Eels,Other countries,Eels,FCR,sd,0.020893030239535416
Eels,Other countries,Eels,FCR,ll,1.5738485812494005
Eels,Other countries,Eels,FCR,ul,1.676749205698427
Eels,Other countries,Eels,FM,mean,51.38857785909417
Eels,Other countries,Eels,FM,sd,3.328461679808014
Eels,Other countries,Eels,FM,ll,46.96389947672661
Eels,Other countries,Eels,FM,ul,61.26695991305517
Eels,Other countries,Eels,FO,mean,5.146961126041
Eels,Other countries,Eels,FO,sd,0.8956494852357297
Eels,Other countries,Eels,FO,ll,4.774310001828872
Eels,Other countries,Eels,FO,ul,12.630322623257031
Fed carps,World,Fed carps,On_Feed,mean,50.076515508690626
Fed carps,World,Fed carps,On_Feed,sd,3.277608084472061
Fed carps,World,Fed carps,On_Feed,ll,41.345025626210195
Fed carps,World,Fed carps,On_Feed,ul,54.332503260958056
Fed carps,World,Fed carps,FCR,mean,1.8025892592592592
Fed carps,World,Fed carps,FCR,sd,0.03225672085759694
Fed carps,World,Fed carps,FCR,ll,1.764752787582013
Fed carps,World,Fed carps,FCR,ul,1.904991839469718
Fed carps,World,Fed carps,FM,mean,4.301264705882353
Fed carps,World,Fed carps,FM,sd,0.8544661625697122
Fed carps,World,Fed carps,FM,ll,3.336239165430201
Fed carps,World,Fed carps,FM,ul,7.309143370443081
Fed carps,World,Fed carps,FO,mean,0
Fed carps,World,Fed carps,FO,sd,0
Fed carps,World,Fed carps,FO,ll,0
Fed carps,World,Fed carps,FO,ul,0
Fed carps,China,Fed carps,On_Feed,mean,50.626714148225
Fed carps,China,Fed carps,On_Feed,sd,3.548216720668434
Fed carps,China,Fed carps,On_Feed,ll,40.99038478792953
Fed carps,China,Fed carps,On_Feed,ul,54.06954721559501
Fed carps,China,Fed carps,FCR,mean,1.8087677777777778
Fed carps,China,Fed carps,FCR,sd,0.03576889506709304
Fed carps,China,Fed carps,FCR,ll,1.7584490084883135
Fed carps,China,Fed carps,FCR,ul,1.8940910233925665
Fed carps,China,Fed carps,FM,mean,4.365323529411764
Fed carps,China,Fed carps,FM,sd,0.898381259449593
Fed carps,China,Fed carps,FM,ll,3.1371941226430033
Fed carps,China,Fed carps,FM,ul,7.345013028712653
Fed carps,China,Fed carps,FO,mean,0
Fed carps,China,Fed carps,FO,sd,0
Fed carps,China,Fed carps,FO,ll,0
Fed carps,China,Fed carps,FO,ul,0
Fed carps,World,Grass carp,On_Feed,mean,50.696041558071876
Fed carps,World,Grass carp,On_Feed,sd,3.3340344402135744
Fed carps,World,Grass carp,On_Feed,ll,40.70552042826962
Fed carps,World,Grass carp,On_Feed,ul,53.27122282169227
Fed carps,World,Grass carp,FCR,mean,1.8095085185185185
Fed carps,World,Grass carp,FCR,sd,0.033449330153664976
Fed carps,World,Grass carp,FCR,ll,1.760480426581591
Fed carps,World,Grass carp,FCR,ul,1.890892276541954
Fed carps,World,Grass carp,FM,mean,4.234676470588235
Fed carps,World,Grass carp,FM,sd,0.8395198105884709
Fed carps,World,Grass carp,FM,ll,3.301173368297592
Fed carps,World,Grass carp,FM,ul,7.292171710938266
Fed carps,World,Grass carp,FO,mean,0
Fed carps,World,Grass carp,FO,sd,0
Fed carps,World,Grass carp,FO,ll,0
Fed carps,World,Grass carp,FO,ul,0
Fed carps,China,Grass carp,On_Feed,mean,50.90110756046875
Fed carps,China,Grass carp,On_Feed,sd,3.7126194751571724
Fed carps,China,Grass carp,On_Feed,ll,40.47173634350628
Fed carps,China,Grass carp,On_Feed,ul,53.64587004437692
Fed carps,China,Grass carp,FCR,mean,1.8163618518518518
